nom_commune,code_postal,ville_cp
ANOYE,64350,ANOYE (64350)
ARAMITS,64570,ARAMITS (64570)
ARANCOU,64270,ARANCOU (64270)
ARAUJUZON,64190,ARAUJUZON (64190)
ARAUX,64190,ARAUX (64190)
ARBERATS SILLEGUE,64120,ARBERATS SILLEGUE (64120)
ARBONNE,64210,ARBONNE (64210)
ARBOUET SUSSAUTE,64120,ARBOUET SUSSAUTE (64120)
ARBUS,64230,ARBUS (64230)
ARCANGUES,64200,ARCANGUES (64200)
AREN,64400,AREN (64400)
ARETTE,64570,ARETTE (64570)
ARESSY,64320,ARESSY (64320)
ARGAGNON,64300,ARGAGNON (64300)
ARGELOS,64450,ARGELOS (64450)
ARGET,64410,ARGET (64410)
ARHANSUS,64120,ARHANSUS (64120)
ARMENDARITS,64640,ARMENDARITS (64640)
ARNEGUY,64220,ARNEGUY (64220)
ARNOS,64370,ARNOS (64370)
AROUE ITHOROTS OLHAIBY,64120,AROUE ITHOROTS OLHAIBY (64120)
ARRAST LARREBIEU,64130,ARRAST LARREBIEU (64130)
ARRAUTE CHARRITTE,64120,ARRAUTE CHARRITTE (64120)
ARRICAU BORDES,64350,ARRICAU BORDES (64350)
ARRIEN,64420,ARRIEN (64420)
ARROS DE NAY,64800,ARROS DE NAY (64800)
ARROSES,64350,ARROSES (64350)
ARTHEZ DE BEARN,64370,ARTHEZ DE BEARN (64370)
ARTHEZ D ASSON,64800,ARTHEZ D ASSON (64800)
ARTIGUELOUTAN,64420,ARTIGUELOUTAN (64420)
ARTIGUELOUVE,64230,ARTIGUELOUVE (64230)
ARTIX,64170,ARTIX (64170)
ARUDY,64260,ARUDY (64260)
ARZACQ ARRAZIGUET,64410,ARZACQ ARRAZIGUET (64410)
ASASP ARROS,64660,ASASP ARROS (64660)
ASCAIN,64310,ASCAIN (64310)
ASCARAT,64220,ASCARAT (64220)
ASSAT,64510,ASSAT (64510)
ASSON,64800,ASSON (64800)
ASTE BEON,64260,ASTE BEON (64260)
ASTIS,64450,ASTIS (64450)
ATHOS ASPIS,64390,ATHOS ASPIS (64390)
AUBERTIN,64290,AUBERTIN (64290)
AUBIN,64230,AUBIN (64230)
AUBOUS,64330,AUBOUS (64330)
AUDAUX,64190,AUDAUX (64190)
AUGA,64450,AUGA (64450)
AURIAC,64450,AURIAC (64450)
AURIONS IDERNES,64350,AURIONS IDERNES (64350)
AUSSEVIELLE,64230,AUSSEVIELLE (64230)
AUSSURUCQ,64130,AUSSURUCQ (64130)
AUTERRIVE,64270,AUTERRIVE (64270)
AUTEVIELLE ST MARTIN BIDEREN,64390,AUTEVIELLE ST MARTIN BIDEREN (64390)
AYDIE,64330,AYDIE (64330)
AYDIUS,64490,AYDIUS (64490)
AYHERRE,64240,AYHERRE (64240)
BAIGTS DE BEARN,64300,BAIGTS DE BEARN (64300)
BALANSUN,64300,BALANSUN (64300)
BALEIX,64460,BALEIX (64460)
BALIRACQ MAUMUSSON,64330,BALIRACQ MAUMUSSON (64330)
BALIROS,64510,BALIROS (64510)
BANCA,64430,BANCA (64430)
BARCUS,64130,BARCUS (64130)
BARDOS,64520,BARDOS (64520)
BARINQUE,64160,BARINQUE (64160)
BARRAUTE CAMU,64390,BARRAUTE CAMU (64390)
BARZUN,64530,BARZUN (64530)
BASSILLON VAUZE,64350,BASSILLON VAUZE (64350)
BASTANES,64190,BASTANES (64190)
BASSUSSARRY,64200,BASSUSSARRY (64200)
BAUDREIX,64800,BAUDREIX (64800)
BAYONNE,64100,BAYONNE (64100)
BEDEILLE,64460,BEDEILLE (64460)
BEDOUS,64490,BEDOUS (64490)
BEGUIOS,64120,BEGUIOS (64120)
BEHASQUE LAPISTE,64120,BEHASQUE LAPISTE (64120)
BEHORLEGUY,64220,BEHORLEGUY (64220)
BELLOCQ,64270,BELLOCQ (64270)
BENEJACQ,64800,BENEJACQ (64800)
BEOST,64440,BEOST (64440)
BENTAYOU SEREE,64460,BENTAYOU SEREE (64460)
BERENX,64300,BERENX (64300)
BERGOUEY VIELLENAVE,64270,BERGOUEY VIELLENAVE (64270)
BERNADETS,64160,BERNADETS (64160)
BERROGAIN LARUNS,64130,BERROGAIN LARUNS (64130)
BESCAT,64260,BESCAT (64260)
BESINGRAND,64150,BESINGRAND (64150)
BETRACQ,64350,BETRACQ (64350)
BEUSTE,64800,BEUSTE (64800)
BEYRIE SUR JOYEUSE,64120,BEYRIE SUR JOYEUSE (64120)
BEYRIE EN BEARN,64230,BEYRIE EN BEARN (64230)
BIARRITZ,64200,BIARRITZ (64200)
BIDACHE,64520,BIDACHE (64520)
BIDARRAY,64780,BIDARRAY (64780)
BIDART,64210,BIDART (64210)
BIDOS,64400,BIDOS (64400)
BIELLE,64260,BIELLE (64260)
BILHERES,64260,BILHERES (64260)
BILLERE,64140,BILLERE (64140)
BIRIATOU,64700,BIRIATOU (64700)
BIRON,64300,BIRON (64300)
BIZANOS,64320,BIZANOS (64320)
BOEIL BEZING,64510,BOEIL BEZING (64510)
BONLOC,64240,BONLOC (64240)
BONNUT,64300,BONNUT (64300)
BORCE,64490,BORCE (64490)
BORDERES,64800,BORDERES (64800)
BORDES,64510,BORDES (64510)
BOSDARROS,64290,BOSDARROS (64290)
BOUCAU,64340,BOUCAU (64340)
BOUEILH BOUEILHO LASQUE,64330,BOUEILH BOUEILHO LASQUE (64330)
BOUGARBER,64230,BOUGARBER (64230)
BOUILLON,64410,BOUILLON (64410)
BOUMOURT,64370,BOUMOURT (64370)
BOURDETTES,64800,BOURDETTES (64800)
BOURNOS,64450,BOURNOS (64450)
BRISCOUS,64240,BRISCOUS (64240)
BRUGES CAPBIS MIFAGET,64800,BRUGES CAPBIS MIFAGET (64800)
BUGNEIN,64190,BUGNEIN (64190)
BUNUS,64120,BUNUS (64120)
BURGARONNE,64390,BURGARONNE (64390)
BUROS,64160,BUROS (64160)
BUROSSE MENDOUSSE,64330,BUROSSE MENDOUSSE (64330)
BUSSUNARITS SARRASQUETTE,64220,BUSSUNARITS SARRASQUETTE (64220)
BUSTINCE IRIBERRY,64220,BUSTINCE IRIBERRY (64220)
BUZIET,64680,BUZIET (64680)
BUZY,64260,BUZY (64260)
CABIDOS,64410,CABIDOS (64410)
CADILLON,64330,CADILLON (64330)
CAMBO LES BAINS,64250,CAMBO LES BAINS (64250)
CAME,64520,CAME (64520)
CAMOU CIHIGUE,64470,CAMOU CIHIGUE (64470)
CARDESSE,64360,CARDESSE (64360)
CARO,64220,CARO (64220)
CARRERE,64160,CARRERE (64160)
CARRESSE CASSABER,64270,CARRESSE CASSABER (64270)
CASTAGNEDE,64270,CASTAGNEDE (64270)
CASTEIDE CAMI,64170,CASTEIDE CAMI (64170)
CASTEIDE CANDAU,64370,CASTEIDE CANDAU (64370)
CASTEIDE DOAT,64460,CASTEIDE DOAT (64460)
CASTERA LOUBIX,64460,CASTERA LOUBIX (64460)
CASTET,64260,CASTET (64260)
CASTETBON,64190,CASTETBON (64190)
CASTETIS,64300,CASTETIS (64300)
CASTETNAU CAMBLONG,64190,CASTETNAU CAMBLONG (64190)
CASTETNER,64300,CASTETNER (64300)
CASTETPUGON,64330,CASTETPUGON (64330)
CASTILLON D ARTHEZ,64370,CASTILLON D ARTHEZ (64370)
CASTILLON DE LEMBEYE,64350,CASTILLON DE LEMBEYE (64350)
CAUBIOS LOOS,64230,CAUBIOS LOOS (64230)
CESCAU,64170,CESCAU (64170)
CETTE EYGUN,64490,CETTE EYGUN (64490)
CHARRE,64190,CHARRE (64190)
CHARRITTE DE BAS,64130,CHARRITTE DE BAS (64130)
CHERAUTE,64130,CHERAUTE (64130)
CIBOURE,64500,CIBOURE (64500)
CLARACQ,64330,CLARACQ (64330)
COARRAZE,64800,COARRAZE (64800)
CONCHEZ DE BEARN,64330,CONCHEZ DE BEARN (64330)
CORBERE ABERES,64350,CORBERE ABERES (64350)
COSLEDAA LUBE BOAST,64160,COSLEDAA LUBE BOAST (64160)
COUBLUCQ,64410,COUBLUCQ (64410)
CROUSEILLES,64350,CROUSEILLES (64350)
CUQUERON,64360,CUQUERON (64360)
DENGUIN,64230,DENGUIN (64230)
DIUSSE,64330,DIUSSE (64330)
DOAZON,64370,DOAZON (64370)
DOGNEN,64190,DOGNEN (64190)
DOMEZAIN BERRAUTE,64120,DOMEZAIN BERRAUTE (64120)
DOUMY,64450,DOUMY (64450)
EAUX BONNES,64440,EAUX BONNES (64440)
ESCOS,64270,ESCOS (64270)
ESCOT,64490,ESCOT (64490)
ESCOU,64870,ESCOU (64870)
ESCOUBES,64160,ESCOUBES (64160)
ESCOUT,64870,ESCOUT (64870)
ESCURES,64350,ESCURES (64350)
ESLOURENTIES DABAN,64420,ESLOURENTIES DABAN (64420)
ESPECHEDE,64160,ESPECHEDE (64160)
ESPELETTE,64250,ESPELETTE (64250)
ESPES UNDUREIN,64130,ESPES UNDUREIN (64130)
ESPIUTE,64390,ESPIUTE (64390)
ESPOEY,64420,ESPOEY (64420)
ESQUIULE,64400,ESQUIULE (64400)
ESTERENCUBY,64220,ESTERENCUBY (64220)
ESTIALESCQ,64290,ESTIALESCQ (64290)
ESTOS,64400,ESTOS (64400)
ETCHARRY,64120,ETCHARRY (64120)
ETCHEBAR,64470,ETCHEBAR (64470)
ETSAUT,64490,ETSAUT (64490)
EYSUS,64400,EYSUS (64400)
ANCE FEAS,64570,ANCE FEAS (64570)
FICHOUS RIUMAYOU,64410,FICHOUS RIUMAYOU (64410)
GABASTON,64160,GABASTON (64160)
GABAT,64120,GABAT (64120)
GAMARTHE,64220,GAMARTHE (64220)
GAN,64290,GAN (64290)
GARINDEIN,64130,GARINDEIN (64130)
GARLEDE MONDEBAT,64450,GARLEDE MONDEBAT (64450)
GARLIN,64330,GARLIN (64330)
GAROS,64410,GAROS (64410)
GARRIS,64120,GARRIS (64120)
GAYON,64350,GAYON (64350)
GELOS,64110,GELOS (64110)
GER,64530,GER (64530)
GERDEREST,64160,GERDEREST (64160)
GERE BELESTEN,64260,GERE BELESTEN (64260)
GERONCE,64400,GERONCE (64400)
GESTAS,64190,GESTAS (64190)
GEUS D ARZACQ,64370,GEUS D ARZACQ (64370)
GEUS D OLORON,64400,GEUS D OLORON (64400)
GOES,64400,GOES (64400)
GOMER,64420,GOMER (64420)
GOTEIN LIBARRENX,64130,GOTEIN LIBARRENX (64130)
GUETHARY,64210,GUETHARY (64210)
GUICHE,64520,GUICHE (64520)
GUINARTHE PARENTIES,64390,GUINARTHE PARENTIES (64390)
GURMENCON,64400,GURMENCON (64400)
GURS,64190,GURS (64190)
HAGETAUBIN,64370,HAGETAUBIN (64370)
HALSOU,64480,HALSOU (64480)
HASPARREN,64240,HASPARREN (64240)
HAUT DE BOSDARROS,64800,HAUT DE BOSDARROS (64800)
HAUX,64470,HAUX (64470)
HELETTE,64640,HELETTE (64640)
HENDAYE,64700,HENDAYE (64700)
HERRERE,64680,HERRERE (64680)
HIGUERES SOUYE,64160,HIGUERES SOUYE (64160)
L HOPITAL D ORION,64270,L HOPITAL D ORION (64270)
L HOPITAL ST BLAISE,64130,L HOPITAL ST BLAISE (64130)
HOSTA,64120,HOSTA (64120)
HOURS,64420,HOURS (64420)
IBARROLLE,64120,IBARROLLE (64120)
IDAUX MENDY,64130,IDAUX MENDY (64130)
IDRON,64320,IDRON (64320)
IGON,64800,IGON (64800)
IHOLDY,64640,IHOLDY (64640)
ILHARRE,64120,ILHARRE (64120)
IRISSARRY,64780,IRISSARRY (64780)
IROULEGUY,64220,IROULEGUY (64220)
ISPOURE,64220,ISPOURE (64220)
ISSOR,64570,ISSOR (64570)
ISTURITS,64240,ISTURITS (64240)
ITXASSOU,64250,ITXASSOU (64250)
IZESTE,64260,IZESTE (64260)
JASSES,64190,JASSES (64190)
JATXOU,64480,JATXOU (64480)
JAXU,64220,JAXU (64220)
JURANCON,64110,JURANCON (64110)
JUXUE,64120,JUXUE (64120)
LAA MONDRANS,64300,LAA MONDRANS (64300)
LAAS,64390,LAAS (64390)
LABASTIDE CEZERACQ,64170,LABASTIDE CEZERACQ (64170)
LA BASTIDE CLAIRENCE,64240,LA BASTIDE CLAIRENCE (64240)
LABASTIDE MONREJEAU,64170,LABASTIDE MONREJEAU (64170)
LABASTIDE VILLEFRANCHE,64270,LABASTIDE VILLEFRANCHE (64270)
LABATMALE,64530,LABATMALE (64530)
LABATUT FIGUIERES,64460,LABATUT FIGUIERES (64460)
LABETS BISCAY,64120,LABETS BISCAY (64120)
LABEYRIE,64300,LABEYRIE (64300)
LACADEE,64300,LACADEE (64300)
LACARRE,64220,LACARRE (64220)
LACARRY ARHAN CHARRITTE DE HAUT,64470,LACARRY ARHAN CHARRITTE DE HAUT (64470)
LACOMMANDE,64360,LACOMMANDE (64360)
LACQ,64170,LACQ (64170)
LAGOR,64150,LAGOR (64150)
LAGOS,64800,LAGOS (64800)
LAGUINGE RESTOUE,64470,LAGUINGE RESTOUE (64470)
LAHONCE,64990,LAHONCE (64990)
LAHONTAN,64270,LAHONTAN (64270)
LAHOURCADE,64150,LAHOURCADE (64150)
LALONGUE,64350,LALONGUE (64350)
LALONQUETTE,64450,LALONQUETTE (64450)
LAMAYOU,64460,LAMAYOU (64460)
LANNE EN BARETOUS,64570,LANNE EN BARETOUS (64570)
LANNECAUBE,64350,LANNECAUBE (64350)
LANNEPLAA,64300,LANNEPLAA (64300)
LANTABAT,64640,LANTABAT (64640)
LARCEVEAU ARROS CIBITS,64120,LARCEVEAU ARROS CIBITS (64120)
LAROIN,64110,LAROIN (64110)
LARRAU,64560,LARRAU (64560)
LARRESSORE,64480,LARRESSORE (64480)
LARREULE,64410,LARREULE (64410)
LARRIBAR SORHAPURU,64120,LARRIBAR SORHAPURU (64120)
LARUNS,64440,LARUNS (64440)
LASCLAVERIES,64450,LASCLAVERIES (64450)
LASSE,64220,LASSE (64220)
LASSERRE,64350,LASSERRE (64350)
LASSEUBE,64290,LASSEUBE (64290)
LASSEUBETAT,64290,LASSEUBETAT (64290)
LAY LAMIDOU,64190,LAY LAMIDOU (64190)
LECUMBERRY,64220,LECUMBERRY (64220)
LEDEUIX,64400,LEDEUIX (64400)
LEE,64320,LEE (64320)
LEES ATHAS,64490,LEES ATHAS (64490)
LEMBEYE,64350,LEMBEYE (64350)
LEME,64450,LEME (64450)
LEREN,64270,LEREN (64270)
LESCAR,64230,LESCAR (64230)
LESCUN,64490,LESCUN (64490)
LESPIELLE,64350,LESPIELLE (64350)
LESPOURCY,64160,LESPOURCY (64160)
LESTELLE BETHARRAM,64800,LESTELLE BETHARRAM (64800)
LICHANS SUNHAR,64470,LICHANS SUNHAR (64470)
LICHOS,64130,LICHOS (64130)
LICQ ATHEREY,64560,LICQ ATHEREY (64560)
LIMENDOUS,64420,LIMENDOUS (64420)
LIVRON,64530,LIVRON (64530)
LOHITZUN OYHERCQ,64120,LOHITZUN OYHERCQ (64120)
LOMBIA,64160,LOMBIA (64160)
LONCON,64410,LONCON (64410)
LONS,64140,LONS (64140)
LOUBIENG,64300,LOUBIENG (64300)
LOUHOSSOA,64250,LOUHOSSOA (64250)
LOURDIOS ICHERE,64570,LOURDIOS ICHERE (64570)
LOURENTIES,64420,LOURENTIES (64420)
LOUVIE JUZON,64260,LOUVIE JUZON (64260)
LOUVIE SOUBIRON,64440,LOUVIE SOUBIRON (64440)
LOUVIGNY,64410,LOUVIGNY (64410)
LUC ARMAU,64350,LUC ARMAU (64350)
LUCARRE,64350,LUCARRE (64350)
LUCGARIER,64420,LUCGARIER (64420)
LUCQ DE BEARN,64360,LUCQ DE BEARN (64360)
LURBE ST CHRISTAU,64660,LURBE ST CHRISTAU (64660)
LUSSAGNET LUSSON,64160,LUSSAGNET LUSSON (64160)
LUXE SUMBERRAUTE,64120,LUXE SUMBERRAUTE (64120)
LYS,64260,LYS (64260)
MACAYE,64240,MACAYE (64240)
MALAUSSANNE,64410,MALAUSSANNE (64410)
MASCARAAS HARON,64330,MASCARAAS HARON (64330)
MASLACQ,64300,MASLACQ (64300)
MASPARRAUTE,64120,MASPARRAUTE (64120)
MASPIE LALONQUERE JUILLACQ,64350,MASPIE LALONQUERE JUILLACQ (64350)
MAUCOR,64160,MAUCOR (64160)
MAULEON LICHARRE,64130,MAULEON LICHARRE (64130)
MAURE,64460,MAURE (64460)
MAZERES LEZONS,64110,MAZERES LEZONS (64110)
MAZEROLLES,64230,MAZEROLLES (64230)
MEHARIN,64120,MEHARIN (64120)
MEILLON,64510,MEILLON (64510)
MENDIONDE,64240,MENDIONDE (64240)
MENDITTE,64130,MENDITTE (64130)
MENDIVE,64220,MENDIVE (64220)
MERACQ,64410,MERACQ (64410)
MERITEIN,64190,MERITEIN (64190)
MESPLEDE,64370,MESPLEDE (64370)
MIALOS,64410,MIALOS (64410)
MIOSSENS LANUSSE,64450,MIOSSENS LANUSSE (64450)
MIREPEIX,64800,MIREPEIX (64800)
MOMAS,64230,MOMAS (64230)
MOMY,64350,MOMY (64350)
MONASSUT AUDIRACQ,64160,MONASSUT AUDIRACQ (64160)
MONCAUP,64350,MONCAUP (64350)
MONCAYOLLE LARRORY MENDIBIEU,64130,MONCAYOLLE LARRORY MENDIBIEU (64130)
MONCLA,64330,MONCLA (64330)
MONEIN,64360,MONEIN (64360)
MONPEZAT,64350,MONPEZAT (64350)
MONSEGUR,64460,MONSEGUR (64460)
MONT,64300,MONT (64300)
MONTAGUT,64410,MONTAGUT (64410)
MONTANER,64460,MONTANER (64460)
MONTARDON,64121,MONTARDON (64121)
MONTAUT,64800,MONTAUT (64800)
MONT DISSE,64330,MONT DISSE (64330)
MONTFORT,64190,MONTFORT (64190)
MONTORY,64470,MONTORY (64470)
MORLAAS,64160,MORLAAS (64160)
MORLANNE,64370,MORLANNE (64370)
MOUGUERRE,64990,MOUGUERRE (64990)
MOUHOUS,64330,MOUHOUS (64330)
MOUMOUR,64400,MOUMOUR (64400)
MOURENX,64150,MOURENX (64150)
MUSCULDY,64130,MUSCULDY (64130)
NABAS,64190,NABAS (64190)
NARCASTET,64510,NARCASTET (64510)
NARP,64190,NARP (64190)
NAVAILLES ANGOS,64450,NAVAILLES ANGOS (64450)
NAVARRENX,64190,NAVARRENX (64190)
NAY,64800,NAY (64800)
NOGUERES,64150,NOGUERES (64150)
NOUSTY,64420,NOUSTY (64420)
OGENNE CAMPTORT,64190,OGENNE CAMPTORT (64190)
OGEU LES BAINS,64680,OGEU LES BAINS (64680)
OLORON STE MARIE,64400,OLORON STE MARIE (64400)
ORAAS,64390,ORAAS (64390)
ORDIARP,64130,ORDIARP (64130)
OREGUE,64120,OREGUE (64120)
ORIN,64400,ORIN (64400)
ORION,64390,ORION (64390)
ORRIULE,64390,ORRIULE (64390)
ORSANCO,64120,ORSANCO (64120)
ORTHEZ,64300,ORTHEZ (64300)
OS MARSILLON,64150,OS MARSILLON (64150)
OSSAS SUHARE,64470,OSSAS SUHARE (64470)
OSSE EN ASPE,64490,OSSE EN ASPE (64490)
OSSENX,64190,OSSENX (64190)
OSSERAIN RIVAREYTE,64390,OSSERAIN RIVAREYTE (64390)
OSSES,64780,OSSES (64780)
OSTABAT ASME,64120,OSTABAT ASME (64120)
OUILLON,64160,OUILLON (64160)
OUSSE,64320,OUSSE (64320)
OZENX MONTESTRUCQ,64300,OZENX MONTESTRUCQ (64300)
PAGOLLE,64120,PAGOLLE (64120)
PARBAYSE,64360,PARBAYSE (64360)
PARDIES,64150,PARDIES (64150)
PARDIES PIETAT,64800,PARDIES PIETAT (64800)
PAU,64000,PAU (64000)
PEYRELONGUE ABOS,64350,PEYRELONGUE ABOS (64350)
PIETS PLASENCE MOUSTROU,64410,PIETS PLASENCE MOUSTROU (64410)
POEY DE LESCAR,64230,POEY DE LESCAR (64230)
POEY D OLORON,64400,POEY D OLORON (64400)
POMPS,64370,POMPS (64370)
PONSON DEBAT POUTS,64460,PONSON DEBAT POUTS (64460)
PONSON DESSUS,64460,PONSON DESSUS (64460)
PONTACQ,64530,PONTACQ (64530)
PONTIACQ VIELLEPINTE,64460,PONTIACQ VIELLEPINTE (64460)
PORTET,64330,PORTET (64330)
POULIACQ,64410,POULIACQ (64410)
POURSIUGUES BOUCOUE,64410,POURSIUGUES BOUCOUE (64410)
PRECHACQ JOSBAIG,64190,PRECHACQ JOSBAIG (64190)
PRECHACQ NAVARRENX,64190,PRECHACQ NAVARRENX (64190)
PRECILHON,64400,PRECILHON (64400)
PUYOO,64270,PUYOO (64270)
RAMOUS,64270,RAMOUS (64270)
REBENACQ,64260,REBENACQ (64260)
RIBARROUY,64330,RIBARROUY (64330)
RIUPEYROUS,64160,RIUPEYROUS (64160)
RIVEHAUTE,64190,RIVEHAUTE (64190)
RONTIGNON,64110,RONTIGNON (64110)
ROQUIAGUE,64130,ROQUIAGUE (64130)
ST ABIT,64800,ST ABIT (64800)
ST ARMOU,64160,ST ARMOU (64160)
ST BOES,64300,ST BOES (64300)
ST CASTIN,64160,ST CASTIN (64160)
STE COLOME,64260,STE COLOME (64260)
ST DOS,64270,ST DOS (64270)
STE ENGRACE,64560,STE ENGRACE (64560)
ST ESTEBEN,64640,ST ESTEBEN (64640)
ST ETIENNE DE BAIGORRY,64430,ST ETIENNE DE BAIGORRY (64430)
ST FAUST,64110,ST FAUST (64110)
ST GIRONS EN BEARN,64300,ST GIRONS EN BEARN (64300)
ST GLADIE ARRIVE MUNEIN,64390,ST GLADIE ARRIVE MUNEIN (64390)
ST GOIN,64400,ST GOIN (64400)
ST JAMMES,64160,ST JAMMES (64160)
ST JEAN DE LUZ,64500,ST JEAN DE LUZ (64500)
ST JEAN LE VIEUX,64220,ST JEAN LE VIEUX (64220)
ST JEAN PIED DE PORT,64220,ST JEAN PIED DE PORT (64220)
ST JEAN POUDGE,64330,ST JEAN POUDGE (64330)
ST JUST IBARRE,64120,ST JUST IBARRE (64120)
ST LAURENT BRETAGNE,64160,ST LAURENT BRETAGNE (64160)
ST MARTIN D ARBEROUE,64640,ST MARTIN D ARBEROUE (64640)
ST MARTIN D ARROSSA,64780,ST MARTIN D ARROSSA (64780)
ST MEDARD,64370,ST MEDARD (64370)
ST MICHEL,64220,ST MICHEL (64220)
ST PALAIS,64120,ST PALAIS (64120)
ST PE DE LEREN,64270,ST PE DE LEREN (64270)
ST PEE SUR NIVELLE,64310,ST PEE SUR NIVELLE (64310)
ST PIERRE D IRUBE,64990,ST PIERRE D IRUBE (64990)
ST VINCENT,64800,ST VINCENT (64800)
SALIES DE BEARN,64270,SALIES DE BEARN (64270)
SALLES MONGISCARD,64300,SALLES MONGISCARD (64300)
SALLESPISSE,64300,SALLESPISSE (64300)
SAMES,64520,SAMES (64520)
SAMSONS LION,64350,SAMSONS LION (64350)
SARE,64310,SARE (64310)
SARPOURENX,64300,SARPOURENX (64300)
SARRANCE,64490,SARRANCE (64490)
SAUBOLE,64420,SAUBOLE (64420)
SAUCEDE,64400,SAUCEDE (64400)
SAUGUIS ST ETIENNE,64470,SAUGUIS ST ETIENNE (64470)
SAULT DE NAVAILLES,64300,SAULT DE NAVAILLES (64300)
SAUVAGNON,64230,SAUVAGNON (64230)
SAUVELADE,64150,SAUVELADE (64150)
SAUVETERRE DE BEARN,64390,SAUVETERRE DE BEARN (64390)
SEBY,64410,SEBY (64410)
SEDZE MAUBECQ,64160,SEDZE MAUBECQ (64160)
SEDZERE,64160,SEDZERE (64160)
SEMEACQ BLACHON,64350,SEMEACQ BLACHON (64350)
SENDETS,64320,SENDETS (64320)
SERRES CASTET,64121,SERRES CASTET (64121)
SERRES MORLAAS,64160,SERRES MORLAAS (64160)
SERRES STE MARIE,64170,SERRES STE MARIE (64170)
SEVIGNACQ MEYRACQ,64260,SEVIGNACQ MEYRACQ (64260)
SEVIGNACQ,64160,SEVIGNACQ (64160)
SIMACOURBE,64350,SIMACOURBE (64350)
SIROS,64230,SIROS (64230)
SOUMOULOU,64420,SOUMOULOU (64420)
SOURAIDE,64250,SOURAIDE (64250)
SUHESCUN,64780,SUHESCUN (64780)
SUS,64190,SUS (64190)
SUSMIOU,64190,SUSMIOU (64190)
TABAILLE USQUAIN,64190,TABAILLE USQUAIN (64190)
TADOUSSE USSAU,64330,TADOUSSE USSAU (64330)
TARDETS SORHOLUS,64470,TARDETS SORHOLUS (64470)
TARON SADIRAC VIELLENAVE,64330,TARON SADIRAC VIELLENAVE (64330)
TARSACQ,64360,TARSACQ (64360)
THEZE,64450,THEZE (64450)
TROIS VILLES,64470,TROIS VILLES (64470)
UHART CIZE,64220,UHART CIZE (64220)
UHART MIXE,64120,UHART MIXE (64120)
URCUIT,64990,URCUIT (64990)
URDOS,64490,URDOS (64490)
UREPEL,64430,UREPEL (64430)
UROST,64160,UROST (64160)
URRUGNE,64122,URRUGNE (64122)
URRUGNE,64700,URRUGNE (64700)
URT,64240,URT (64240)
USTARITZ,64480,USTARITZ (64480)
UZAN,64370,UZAN (64370)
UZEIN,64230,UZEIN (64230)
UZOS,64110,UZOS (64110)
VERDETS,64400,VERDETS (64400)
VIALER,64330,VIALER (64330)
VIELLENAVE D ARTHEZ,64170,VIELLENAVE D ARTHEZ (64170)
VIELLENAVE DE NAVARRENX,64190,VIELLENAVE DE NAVARRENX (64190)
VIELLESEGURE,64150,VIELLESEGURE (64150)
VIGNES,64410,VIGNES (64410)
VILLEFRANQUE,64990,VILLEFRANQUE (64990)
VIODOS ABENSE DE BAS,64130,VIODOS ABENSE DE BAS (64130)
VIVEN,64450,VIVEN (64450)
ADAST,65260,ADAST (65260)
ADE,65100,ADE (65100)
ADERVIELLE POUCHERGUES,65240,ADERVIELLE POUCHERGUES (65240)
AGOS VIDALOS,65400,AGOS VIDALOS (65400)
ALLIER,65360,ALLIER (65360)
ANCIZAN,65440,ANCIZAN (65440)
ANDREST,65390,ANDREST (65390)
ANERES,65150,ANERES (65150)
ANGOS,65690,ANGOS (65690)
LES ANGLES,65100,LES ANGLES (65100)
ANLA,65370,ANLA (65370)
ANSOST,65140,ANSOST (65140)
ANTICHAN,65370,ANTICHAN (65370)
ANTIN,65220,ANTIN (65220)
ANTIST,65200,ANTIST (65200)
ARAGNOUET,65170,ARAGNOUET (65170)
ARBEOST,65560,ARBEOST (65560)
ARCIZAC ADOUR,65360,ARCIZAC ADOUR (65360)
ARCIZAC EZ ANGLES,65100,ARCIZAC EZ ANGLES (65100)
ARCIZANS AVANT,65400,ARCIZANS AVANT (65400)
ARCIZANS DESSUS,65400,ARCIZANS DESSUS (65400)
ARDENGOST,65240,ARDENGOST (65240)
ARGELES BAGNERES,65200,ARGELES BAGNERES (65200)
ARGELES GAZOST,65400,ARGELES GAZOST (65400)
ARIES ESPENAN,65230,ARIES ESPENAN (65230)
ARNE,65670,ARNE (65670)
ARRAS EN LAVEDAN,65400,ARRAS EN LAVEDAN (65400)
ARREAU,65240,ARREAU (65240)
ARRENS MARSOUS,65400,ARRENS MARSOUS (65400)
ARRODETS EZ ANGLES,65100,ARRODETS EZ ANGLES (65100)
ARRODETS,65130,ARRODETS (65130)
ARTAGNAN,65500,ARTAGNAN (65500)
ARTALENS SOUIN,65400,ARTALENS SOUIN (65400)
ARTIGUEMY,65130,ARTIGUEMY (65130)
ARTIGUES,65100,ARTIGUES (65100)
ASPIN AURE,65240,ASPIN AURE (65240)
ASPIN EN LAVEDAN,65100,ASPIN EN LAVEDAN (65100)
ASQUE,65130,ASQUE (65130)
ASTE,65200,ASTE (65200)
ASTUGUE,65200,ASTUGUE (65200)
AUBAREDE,65350,AUBAREDE (65350)
AUCUN,65400,AUCUN (65400)
AULON,65240,AULON (65240)
AUREILHAN,65800,AUREILHAN (65800)
AURENSAN,65390,AURENSAN (65390)
AURIEBAT,65700,AURIEBAT (65700)
AVAJAN,65240,AVAJAN (65240)
AVENTIGNAN,65660,AVENTIGNAN (65660)
