nom_commune,code_postal,ville_cp
TREVOUX,01600,TREVOUX (01600)
VALEINS,01140,VALEINS (01140)
VANDEINS,01660,VANDEINS (01660)
VARAMBON,01160,VARAMBON (01160)
VAUX EN BUGEY,01150,VAUX EN BUGEY (01150)
VERJON,01270,VERJON (01270)
VERNOUX,01560,VERNOUX (01560)
VERSAILLEUX,01330,VERSAILLEUX (01330)
VERSONNEX,01210,VERSONNEX (01210)
VESANCY,01170,VESANCY (01170)
VESCOURS,01560,VESCOURS (01560)
VESINES,01570,VESINES (01570)
VIEU D IZENAVE,01430,VIEU D IZENAVE (01430)
VILLARS LES DOMBES,01330,VILLARS LES DOMBES (01330)
VILLEBOIS,01150,VILLEBOIS (01150)
VILLEMOTIER,01270,VILLEMOTIER (01270)
VILLENEUVE,01480,VILLENEUVE (01480)
VILLEREVERSURE,01250,VILLEREVERSURE (01250)
VILLES,01200,VILLES (01200)
VILLETTE SUR AIN,01320,VILLETTE SUR AIN (01320)
VILLIEU LOYES MOLLON,01800,VILLIEU LOYES MOLLON (01800)
VIRIAT,01440,VIRIAT (01440)
VIRIEU LE GRAND,01510,VIRIEU LE GRAND (01510)
ARVIERE EN VALROMEY,01260,ARVIERE EN VALROMEY (01260)
VIRIGNIN,01300,VIRIGNIN (01300)
VONGNES,01350,VONGNES (01350)
VONNAS,01540,VONNAS (01540)
ABBECOURT,02300,ABBECOURT (02300)
ACHERY,02800,ACHERY (02800)
ACY,02200,ACY (02200)
AGNICOURT ET SECHELLES,02340,AGNICOURT ET SECHELLES (02340)
AGUILCOURT,02190,AGUILCOURT (02190)
AISONVILLE ET BERNOVILLE,02110,AISONVILLE ET BERNOVILLE (02110)
AIZELLES,02820,AIZELLES (02820)
AIZY JOUY,02370,AIZY JOUY (02370)
ALAINCOURT,02240,ALAINCOURT (02240)
ALLEMANT,02320,ALLEMANT (02320)
AMBLENY,02290,AMBLENY (02290)
AMBRIEF,02200,AMBRIEF (02200)
AMIFONTAINE,02190,AMIFONTAINE (02190)
AMIGNY ROUY,02700,AMIGNY ROUY (02700)
ANCIENVILLE,02600,ANCIENVILLE (02600)
ANDELAIN,02800,ANDELAIN (02800)
ANGUILCOURT LE SART,02800,ANGUILCOURT LE SART (02800)
ANIZY LE GRAND,02320,ANIZY LE GRAND (02320)
ANNOIS,02480,ANNOIS (02480)
